"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn2787237","net4_chip_features.tsv","1","text/tab-separated-values","13881","1918749","1414610383580","1918749","1414610383580","syn2787223","https://www.synapse.org/#!Synapse:syn2787237.1","b3b22d66485f057e5ede59f913674186"
"syn2787224","net1_gene_ids.tsv","1","text/tab-separated-values","17121","1918749","1414610208644","1918749","1414610208644","syn2787220","https://www.synapse.org/#!Synapse:syn2787224.1","5118c62bfb84bbdd39ff5f58f2a911e6"
"syn2787233","net3_chip_features.tsv","1","text/tab-separated-values","20982","1918749","1414610306227","1918749","1414610306227","syn2787222","https://www.synapse.org/#!Synapse:syn2787233.1","f1221a51dce32a413343699619eae6f7"
"syn3130847","ecoli_gene_names.tsv","1","text/tab-separated-values","21242","1918749","1421682183321","1918749","1421682183321","syn3130842","https://www.synapse.org/#!Synapse:syn3130847.1","d09cddedabe77f2d08bca32b8d87e866"
"syn2787225","net1_chip_features.tsv","1","text/tab-separated-values","21458","1918749","1414610213410","1918749","1414610213410","syn2787220","https://www.synapse.org/#!Synapse:syn2787225.1","9a00cc202b860ae1cc191d13389694a7"
"syn3130851","saureus_gene_names.tsv","1","text/tab-separated-values","21886","1918749","1421682221810","1918749","1421682221810","syn3130843","https://www.synapse.org/#!Synapse:syn3130851.1","552d24086f7548198b510ca704c155bf"
"syn3130846","ecoli_experiments.tsv","1","text/tab-separated-values","32908","1918749","1421682180221","1918749","1421682180221","syn3130842","https://www.synapse.org/#!Synapse:syn3130846.1","5873be4e92c70e108e55587e3c330b8c"
"syn3130854","yeast_experiments.tsv","1","text/tab-separated-values","35784","1918749","1421682281165","1918749","1421682281165","syn3130844","https://www.synapse.org/#!Synapse:syn3130854.1","ac177e3b93306112360849530523f951"
"syn2787228","net2_gene_ids.tsv","1","text/tab-separated-values","38737","1918749","1414610257228","1918749","1414610257228","syn2787221","https://www.synapse.org/#!Synapse:syn2787228.1","d6c625c2df6a7acadc712aecfa21ffdf"
"syn3130855","yeast_gene_names.tsv","1","text/tab-separated-values","45888","1918749","1421682289464","1918749","1421682289464","syn3130844","https://www.synapse.org/#!Synapse:syn3130855.1","e73d60c99618bf5eaa73056f1c51465f"
"syn2787241","DREAM5_NetworkInference_GoldStandardSigned_Network1 - in silico.tsv","1","text/tab-separated-values","48307","1918749","1414610594497","1918749","1414610594497","syn2787213","https://www.synapse.org/#!Synapse:syn2787241.1","9bf6de800feb05c67fc04c5e30bac798"
"syn2787232","net3_gene_ids.tsv","1","text/tab-separated-values","49028","1918749","1414610302600","1918749","1414610302600","syn2787222","https://www.synapse.org/#!Synapse:syn2787232.1","1a5c60cbe4bba44b19b01985d5578d74"
"syn2787254","DREAM5_NetworkInference_MethodScoringResults.xls","1","application/vnd.ms-excel","58368","1918749","1414610962697","1918749","1414610962697","syn2787215","https://www.synapse.org/#!Synapse:syn2787254.1","42dd782b8b99a044d56bc437d2b5dabe"
"syn2787236","net4_gene_ids.tsv","1","text/tab-separated-values","82929","1918749","1414610378953","1918749","1414610378953","syn2787223","https://www.synapse.org/#!Synapse:syn2787236.1","3d4d3b078372366704934fdb0be152f2"
"syn2787249","Ecoli_Saureus_community_networks_precision_50.cys","1","","202408","1918749","1414610758377","1918749","1414610758377","syn2787215","https://www.synapse.org/#!Synapse:syn2787249.1","7aeb81d56c9e16241f16f14c361378aa"
"syn2787252","DREAM5_NetworkInference_Ecoli_experiments.xls","1","application/vnd.ms-excel","399872","1918749","1414610950735","1918749","1414610950735","syn2787215","https://www.synapse.org/#!Synapse:syn2787252.1","930cb44dd6b334de8fab70ece3ebbe7e"
"syn2787253","DREAM5_NetworkInference_Ecoli_Saureus_Modules.xls","1","application/vnd.ms-excel","609792","1918749","1414610956339","1918749","1414610956339","syn2787215","https://www.synapse.org/#!Synapse:syn2787253.1","58e6160a3b2fee4f4671b47f18dd077e"
"syn2787243","DREAM5_NetworkInference_GoldStandard_Network3 - E. coli.tsv","1","text/tab-separated-values","1882207","1918749","1414610602973","1918749","1414610602973","syn2787213","https://www.synapse.org/#!Synapse:syn2787243.1","5f7c7fbda344c38ca8b19057255bee17"
"syn2787244","DREAM5_NetworkInference_GoldStandard_Network4 - S. cerevisiae.tsv","1","text/tab-separated-values","2834256","1918749","1414610607286","1918749","1414610607286","syn2787213","https://www.synapse.org/#!Synapse:syn2787244.1","f771f8b9eb9a2cb15272a0f94830b24a"
"syn3130849","saureus_data.tsv","1","text/tab-separated-values","2950418","1918749","1421682214959","1918749","1421682214959","syn3130843","https://www.synapse.org/#!Synapse:syn3130849.1","88f724f70105da570ba0cde973ebdeb1"
"syn2787240","DREAM5_NetworkInference_GoldStandard_Network1 - in silico.tsv","1","text/tab-separated-values","3280407","1918749","1414610590120","1918749","1414610590120","syn2787213","https://www.synapse.org/#!Synapse:syn2787240.1","a9f2da4f137a5827fedec5605acd401f"
"syn2787230","net2_expression_data.tsv","1","text/tab-separated-values","4584938","1918749","1414610265523","1918749","1414610265523","syn2787221","https://www.synapse.org/#!Synapse:syn2787230.1","838d9daadd81850ecf526197290ec13b"
"syn2787250","Ecoli_Saureus_Scerevisiae_community_networks.zip","1","application/zip","5471354","1918749","1414610774395","1918749","1414610774395","syn2787215","https://www.synapse.org/#!Synapse:syn2787250.1","e86b13bb2dfbf3bceafbfde457d18542"
"syn2787219","Evaluation scripts.zip","1","application/zip","8887839","1918749","1414609736410","1918749","1414609736410","syn2787214","https://www.synapse.org/#!Synapse:syn2787219.1","e48762938f539931fd5afd79dbc9c405"
"syn2787247","DREAM5_NetworkInference_MainText.pdf","1","application/force-download","9878877","1918749","1414610750605","1918749","1414610750605","syn2787215","https://www.synapse.org/#!Synapse:syn2787247.1","e41f1c2f978e8595783a2d382da1e355"
"syn2787226","net1_expression_data.tsv","1","text/tab-separated-values","13234901","1918749","1414610221057","1918749","1414610221057","syn2787220","https://www.synapse.org/#!Synapse:syn2787226.1","1a5c61fa117e002e65acc1c6c26a5599"
"syn2787248","DREAM5_NetworkInference_SupplementalMethodsFigures.pdf","2","application/pdf","19895991","1918749","1414610754629","1918749","1580227071378","syn2787215","https://www.synapse.org/#!Synapse:syn2787248.2","c10f82452398c7b73f154f60d2a08f34"
"syn3130853","yeast_data.tsv","1","text/tab-separated-values","20923678","1918749","1421682275453","1918749","1421682275453","syn3130844","https://www.synapse.org/#!Synapse:syn3130853.1","ae38fe34c1d8c519facc678cca02231f"
"syn3130845","ecoli_data.tsv","1","text/tab-separated-values","23829377","1918749","1421682175926","1918749","1421682175926","syn3130842","https://www.synapse.org/#!Synapse:syn3130845.1","d56598aa81e6fd0635e68da0a66b280c"
"syn2787238","net4_expression_data.tsv","1","text/tab-separated-values","33355847","1918749","1414610398120","1918749","1414610398120","syn2787223","https://www.synapse.org/#!Synapse:syn2787238.1","66edbbb3dfddc2faeeb980607eaf0a34"
"syn2787234","net3_expression_data.tsv","1","text/tab-separated-values","36874927","1918749","1414610318671","1918749","1414610318671","syn2787222","https://www.synapse.org/#!Synapse:syn2787234.1","d18b463871dd8e63532647a4cfc497fd"
"syn2787251","Network_predictions.zip","1","application/zip","79484816","1918749","1414610799182","1918749","1414610799182","syn2787215","https://www.synapse.org/#!Synapse:syn2787251.1","716f24b3b0f62423c465f5721553d4d7"
